# Time,H3_IPR,Cubic_IPR
1.366733466933867724e+01,4.992487229187362874e-01,1.910745810840888681e-02
1.370741482965931723e+01,5.073592565626201534e-01,1.842485190476288170e-02
1.374749498997995900e+01,5.183859507481022311e-01,1.775986641407841654e-02
1.378757515030060077e+01,5.299984543465716680e-01,1.710961922754298745e-02
1.382765531062124253e+01,5.391032773772852504e-01,1.647281743243432517e-02
1.386773547094188253e+01,5.429873277071740612e-01,1.585038160221816789e-02
1.390781563126252429e+01,5.404681071004739934e-01,1.524592119021286885e-02
1.394789579158316606e+01,5.324253729258467960e-01,1.466596658230387082e-02
1.398797595190380783e+01,5.213973095091430920e-01,1.411989804631927185e-02
1.402805611222444782e+01,5.104925817200182125e-01,1.361955070286105171e-02
1.406813627254508958e+01,5.022266214571501353e-01,1.317851362473804015e-02
1.410821643286573135e+01,4.977974513062847217e-01,1.281117872670546956e-02
1.414829659318637134e+01,4.969562996331211568e-01,1.253162973927557378e-02
1.418837675350701311e+01,4.983357766860321281e-01,1.235249223897602611e-02
1.422845691382765487e+01,5.000278416319015040e-01,1.228388919933243867e-02
1.426853707414829664e+01,5.002589702395282556e-01,1.233265654202306619e-02
1.430861723446893663e+01,4.980386320325350669e-01,1.250196474286288141e-02
1.434869739478957840e+01,4.935700648991921402e-01,1.279146071208163600e-02
1.438877755511022016e+01,4.882045009914816602e-01,1.319798997776070945e-02
1.442885771543086193e+01,4.839374475447276169e-01,1.371688675060428811e-02
1.446893787575150192e+01,4.826713608438947811e-01,1.434373992764801167e-02
1.450901803607214369e+01,4.855058194817524209e-01,1.507646748628198134e-02
1.454909819639278545e+01,4.922767834048574764e-01,1.591747220794499304e-02
1.458917835671342544e+01,5.015069462339342143e-01,1.687561756311983796e-02
1.462925851703406721e+01,5.108048090868285707e-01,1.796775966385111278e-02
1.466933867735470898e+01,5.175960315306218362e-01,1.921960139317307678e-02
1.470941883767535074e+01,5.199504078189670642e-01,2.066569617045928980e-02
1.474949899799599073e+01,5.172394743724749722e-01,2.234851494833722807e-02
1.478957915831663250e+01,5.103964005820706973e-01,2.431659040437221184e-02
1.482965931863727427e+01,5.016362693140271611e-01,2.662185272084771626e-02
1.486973947895791603e+01,4.936841230413481774e-01,2.931635619328473372e-02
1.490981963927855602e+01,4.887989690082764072e-01,3.244865194580477674e-02
1.494989979959919779e+01,4.879909963664268990e-01,3.606008207096831480e-02
1.498997995991983956e+01,4.906958400372545270e-01,4.018125579126495539e-02
1.503006012024047955e+01,4.949956178149448327e-01,4.482892842377743381e-02
1.507014028056112132e+01,4.983532043060562300e-01,5.000345305028060933e-02
1.511022044088176308e+01,4.986039519930347552e-01,5.568692592093676952e-02
1.515030060120240485e+01,4.947773644607199039e-01,6.184211006132382671e-02
1.519038076152304484e+01,4.873852182510828857e-01,6.841219518774170616e-02
1.523046092184368661e+01,4.781146315039834227e-01,7.532143514545289187e-02
1.527054108216432837e+01,4.691612862949746665e-01,8.247668237546379455e-02
1.531062124248497014e+01,4.625179086272034890e-01,8.976980940680642784e-02
